Title,categoria,prakarana_label,nom_s,nom_d,nom_p,voc_s,voc_d,voc_p,acc_s,acc_d,acc_p,ins_s,ins_d,ins_p,dat_s,dat_d,dat_p,abl_s,abl_d,abl_p,gen_s,gen_d,gen_p,loc_s,loc_d,loc_p
अकारान्तः पुंलिङ्गः 'राम' शब्दः (Rāma),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,रामः,रामौ,रामाः,हे राम,हे रामौ,हे रामाः,रामम्,रामौ,रामान्,रामेण,रामाभ्याम्,रामैः,रामाय,रामाभ्याम्,रामेभ्यः,रामात्,रामाभ्याम्,रामेभ्यः,रामस्य,रामयोः,रामाणाम्,रामे,रामयोः,रामेषु
 इकारान्तः पुंलिङ्गः ‘हरि’ शब्दः (Viṣṇu),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,हरिः,हरी,हरयः,हे हरे,हे हरी,हे हरयः,हरिम्,हरी,हरीन्,हरिणा,हरिभ्याम्,हरिभिः,हरये,हरिभ्याम्,हरिभ्यः,हरेः,हरिभ्याम्,हरिभ्यः,हरेः,हर्योः,हरीणाम्,हरौ,हर्योः,हरिषु
 उकारान्तः पुंलिङ्गः ‘गुरु’ शब्दः (Mestre),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,गुरुः,गुरू,गुरवः,हे गुरो,हे गुरू,हे गुरवः,गुरुम्,गुरू,गुरून्,गुरुणा,गुरुभ्याम्,गुरुभिः,गुरवे,गुरुभ्याम्,गुरुभ्यः,गुरोः,गुरुभ्याम्,गुरुभ्यः,गुरोः,गुर्वोः,गुरूणाम्,गुरौ,गुर्वोः,गुरुषु
ऋकारान्तः पुंलिङ्गः ‘पितृ’ शब्दः (Pai),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,पिता,पितरौ,पितरः,हे पितः,हे पितरौ,हे पितरः,पितरम्,पितरौ,पितॄन्,पित्रा,पितृभ्याम्,पितृभिः,पित्रे,पितृभ्याम्,पितृभ्यः,पितुः,पितृभ्याम्,पितृभ्यः,पितुः,पित्रोः,पितॄणाम्,पितरि,पित्रोः,पितृषु
ऋकारान्तः पुंलिङ्गः ‘दातृ’ शब्दः (Doador),सुबन्तम्,अजन्त-पुंलिङ्ग-प्रककणम्​,दाता,दातारौ,दातारः,हे दातः,हे दातारौ,हे दातारः,दातारम्,दातारौ,दातॄन्,दात्रा,दातृभ्याम्,दातृभिः,दात्रे,दातृभ्याम्,दातृभ्यः,दातुः,दातृभ्याम्,दातृभ्यः,दातुः,दात्रोः,दातॄणाम्,दातरि,दात्रोः,दातृषु
अकारान्तः नपुंसकलिङ्गः ‘वन’ शब्दः (Floresta),सुबन्तम्,अजन्त नपुंसकलिङ्ग प्रकरणम्,वनम्,वने,वनानि,हे वन,हे वने,हे वनानि,वनम्,वने,वनानि,वनेन,वनाभ्याम्,वनैः,वनाय,वनाभ्याम्,वनेभ्यः,वनात्,वनाभ्याम्,वनेभ्यः,वनस्य,वनयोः,वनानाम्,वने,वनयोः,वनेषु
अकारान्तः नपुंसकलिङ्गः ‘वारि’ शब्दः (Água),सुबन्तम्,अजन्त नपुंसकलिङ्ग प्रकरणम्,वारि,वारिणी,वारीणि,हे वारे/वारि,हे वारिणी,हे वारीणि,वारि,वारिणी,वारीणि,वारिणा,वारिभ्याम्,वारिभिः,वारिणे,वारिभ्याम्,वारिभ्यः,वारिणः,वारिभ्याम्,वारिभ्यः,वारिणः,वारिणोः,वारीणाम्,वारिणि,वारिणोः,वारिषु
उकारान्तः नपुंसकलिङ्गः ‘मधु’ शब्दः (Mel),सुबन्तम्,अजन्त नपुंसकलिङ्ग प्रकरणम्,मधु,मधुनी,मधूनि,हे मधो/मधु,हे मधुनी,हे मधूनि,मधु,मधुनी,मधूनि,मधुना,मधुभ्याम्,मधुभिः,मधुने,मधुभ्याम्,मधुभ्यः,मधुनः,मधुभ्याम्,मधुभ्यः,मधुनः,मधुनोः,मधूनाम्,मधुनि,मधुनोः,मधुषु
ऋकारान्तः नपुंसकलिङ्गः 'कर्तृ' शब्दः (Fazedor),सुबन्तम्,अजन्त नपुंसकलिङ्ग प्रकरणम्,कर्तृ,कर्तृणी,कर्तॄणी,हे कर्तः/कर्तृ,हे कर्तृणी,हे कर्तॄणी,कर्तृ,कर्तृणी,कर्तॄणी,कर्तृणा/कर्त्रा,कर्तृभ्याम्,कर्तृभिः,कर्तृणे/कर्त्रे,कर्तृभ्याम्,कर्तृभ्यः,कर्तृणः/कर्तुः,कर्तृभ्याम्,कर्तृभ्यः,कर्तृणः/कर्तुः,कर्तृणोः/कर्त्रोः,कर्तॄणाम्,कर्तृणि/कर्तरि,कर्तृणोः/कर्त्रोः,कर्तृषु
आकारान्तः स्त्रीलिङ्गः ‘सीता’ शब्दः (Sītā),सुबन्तम्,अजन्त स्त्रीलिङ्ग प्रकरणम्,सीता,सीते,सीताः,हे सीते,हे सीते,हे सीताः,सीताम्,सीते,सीताः,सीतया,सीताभ्याम्,सीताभिः,सीतायै,सीताभ्याम्,सीताभ्यः,सीतायाः,सीताभ्याम्,सीताभ्यः,सीतायाः,सीतयोः,सीतानाम्,सीतायाम्,सीतयोः,सीतासु
