word_type,word_subtype,word_devanagari,gender,meaning_pt,meaning_es,meaning_en,itrans,iast,harvard_kyoto,is_published,order_index
"substantive","noun","अग्नि","masculine","Fogo","Fuego","Fire","agni","agni","agni","true","1"
"substantive","noun","अङ्गार","masculine","Carvão","Carbón","Coal","a~NgAra","aṅgāra","aGgAra","true","2"
"substantive","noun","अतिथि","masculine","Convidado (अतति गच्छति न तिष्ठति)","Invitado अतति गच्छति न तिष्ठति)","Guest (अतति गच्छति न तिष्ठति)","atithi","atithi","atithi","true","3"
"substantive","pronoun","अदस्","","Aquilo/aquilo","Eso/aquello","That/that","adas","adas","adas","true","4"
"substantive","noun","अनिल","masculine","Vento","Viento","Wind","anila","anila","anila","true","5"
"substantive","adjective","अन्ध","","Cego","Ciego","Blind","andha","andha","andha","true","6"
"substantive","noun","अन्न","neuter","Alimento; Alimento","Comida; Alimento","Food","anna","anna","anna","true","7"
"substantive","noun","अभिधेयम्","neuter","Nome","Nombre","Name","abhidheyam","abhidheyam","abhidheyam","true","8"
"substantive","noun","अम्बु","neuter","Água","Agua","Water","ambu","ambu","ambu","true","9"
"substantive","noun","अरि","masculine","Inimigo","Enemigo","Enemy","ari","ari","ari","true","10"
"substantive","noun","अर्थ","masculine","Prosperidade, Fortuna","Prosperidad, Fortuna","Prosperity, Fortune","artha","artha","artha","true","11"
"substantive","noun","अलि","masculine","Abelha","Abeja","Bee","ali","ali","ali","true","12"
"substantive","noun","अश्रु","neuter","Lágrima","Lágrima","Tear","ashru","aśru","azru","true","13"
"substantive","noun","अश्व","masculine","Cavalo","Caballo","Horse","ashva","aśva","azva","true","14"
"substantive","noun","असि","masculine","Espada","Espada","Sword","asi","asi","asi","true","15"
"substantive","noun","असृज्","neuter","Sangue","Sangre","Blood","asRRij asRRik)","asṛj asṛk)","asRj asRk)","true","16"
"substantive","noun","आकाश","masculine","Céu, Espaço","Cielo, Espacio","Sky, Space","AkAsha","ākāśa","AkAza","true","17"
"substantive","noun","आगम","masculine","Chegada","Llegada","Arrival","Agama","āgama","Agama","true","18"
"substantive","noun","आचार","masculine","Conduta","Conducta","Conduct","AchAra","ācāra","AcAra","true","19"
"substantive","noun","आचार्य","masculine","Preceptor Mestre","Preceptor, Maestro","Preceptor Master","AchArya","ācārya","AcArya","true","20"
"substantive","noun","आदेश","masculine","Ordem","Orden","Order","Adesha","ādeśa","Adeza","true","21"
"substantive","adjective","आद्य","","Primeiro","Primero","First","Adya","ādya","Adya","true","22"
"substantive","noun","आनन","neuter","Boca, rosto","Boca, cara","Mouth, face","Anana","ānana","Anana","true","23"
"substantive","noun","आपद्","feminine","Adversidade","Adversidad","Adversity","Apad Apat)","āpad āpat)","Apad Apat)","true","24"
"substantive","noun","आरोग्यम्","neuter","Saúde","Salud","Health","Arogyam","ārogyam","Arogyam","true","25"
"substantive","noun","आशा","feminine","Esperança","Esperanza","Hope","AshA","āśā","AzA","true","26"
"substantive","adjective","आशु","","Rápido","Rápido","Fast","Ashu","āśu","Azu","true","27"
"substantive","noun","आश्रम","masculine","āśrama","āśrama","āśrama","Ashrama","āśrama","Azrama","true","28"
"substantive","noun","आहार","masculine","Alimento","Comida","Food","AhAra","āhāra","AhAra","true","29"
"substantive","pronoun","इदम्","","Isto","Esto","This","idam","idam","idam","true","30"
"substantive","noun","इन्दु","masculine","Lua","Luna","Moon","indu","indu","indu","true","31"
"substantive","noun","इन्धन","neuter","Combustível","Combustible","Fuel","indhanam","indhanam","indhanam","true","32"
"substantive","noun","इषु","masculine","Flecha","Flecha","Arrow","iShu","iṣu","iSu","true","33"
"substantive","noun","ईश्वर","masculine","Īśvara","Īśvara","Īśvara","Ishvara","īśvara","Izvara","true","34"
"substantive","noun","उदधि","masculine","Oceano","Océano","Ocean","udadhi","udadhi","udadhi","true","35"
"substantive","adjective","उदार","","Generoso","Generoso","Generous","udAra","udāra","udAra","true","36"
"substantive","noun","उद्भिद्","masculine","Planta","Planta","Plant","udbhid udbhit)","udbhid udbhit)","udbhid udbhit)","true","37"
"substantive","noun","उद्यम","masculine","Esforço","Esfuerzo","Effort","udyama","udyama","udyama","true","38"
"substantive","noun","उद्यान","neuter","Jardim","Jardín","Garden","udyAna","udyāna","udyAna","true","39"
"substantive","noun","उरस्","neuter","Baú","Pecho","Chest","uras ura)","uras ura)","uras ura)","true","40"
"substantive","adjective","उष्ण","","Quente","Caliente","Hot","uShNa","uṣṇa","uSNa","true","41"
"substantive","noun","ऋच्","feminine","Hino","Himno","Hymn","RRich RRik)","ṛc ṛk)","Rc Rk)","true","42"
"substantive","noun","ऋत्वज्","masculine","Sacerdote","Sacerdote","Priest","RRitvaj RRitvak)","ṛtvaj ṛtvak)","Rtvaj Rtvak)","true","43"
"substantive","noun","ऋषि","masculine","Vidente","Vidente","Seer","RRiShi","ṛṣi","RSi","true","44"
"substantive","adjective","एक","","Um","Uno","One","eka","eka","eka","true","45"
"substantive","noun","औषधम्","neuter","Medicina","Medicina","Medicine","auShadham","auṣadham","auSadham","true","46"
"substantive","noun","कथा","feminine","História","Historia","History","kathA","kathā","kathA","true","47"
"substantive","noun","कनक","neuter","Ouro","Oro","Gold","kanaka","kanaka","kanaka","true","48"
"substantive","noun","कन्या","feminine","Filha","Hija","Daughter","kanyA","kanyā","kanyA","true","49"
"substantive","noun","कपि","masculine","Macaco","Mono","Monkey","kapi","kapi","kapi","true","50"
"substantive","noun","कपोत","masculine","Pombo","Paloma","Pigeon","kapota","kapota","kapota","true","51"
"substantive","noun","कमल","neuter","Lótus","Loto","Lotus","kamala","kamala","kamala","true","52"
"substantive","noun","कर","masculine","Mão; Tromba","Mano; Trompa","Hand; Trunk","kara","kara","kara","true","53"
"substantive","adjective","कर्तृ","","Fazedor","Hacedor","Doer","kartRRi","kartṛ","kartR","true","54"
"substantive","noun","कर्तृ","masculine","Fazedor","Hacedor","Doer","kartRRi","kartṛ","kartR","true","55"
"substantive","noun","कर्तृ","neuter","Fazedor (aquele que realiza uma ação)","Hacedor el que realiza una acción)","Doer (one who performs an action)","kartRRi","kartṛ","kartR","true","56"
"substantive","noun","कलि","masculine","Luta, discussão, guerra, batalha","Lucha, pelea, guerra, batalla","Fight, quarrel, war, battle","kali","kali","kali","true","57"
"substantive","noun","कवि","masculine","Poeta","Poeta","Poet","kavi","kavi","kavi","true","58"
"substantive","noun","काक","masculine","Corvo","Cuervo","Crow","kAka","kāka","kAka","true","59"
"substantive","adjective","काण","","Caolho","Tuerto","One-eyed","kANa","kāṇa","kANa","true","60"
"substantive","noun","काम","masculine","Desejo","Deseo","Desire","kAma","kāma","kAma","true","61"
"substantive","noun","कारण","neuter","Causa, razão, motivo","Causa, razón, motivo","Cause, reason, motive","kAraNa","kāraṇa","kAraNa","true","62"
"substantive","noun","कार्य","neuter","Trabalho, Negócios; Ação; Efeito oposto de (कारण)","Trabajo, Negocio; Acción; Efecto opuesto de कारण)","Work, Business; Action; Opposite effect of (कारण)","kArya","kārya","kArya","true","63"
"substantive","noun","काव्य","neuter","Poema","Poema","Poem","kAvyam","kāvyam","kAvyam","true","64"
"substantive","noun","कुम्भकर्ण","masculine","Kumbhakarṇa","Kumbhakarṇa","Kumbhakarṇa","kumbhakarNa","kumbhakarṇa","kumbhakarNa","true","65"
"substantive","adjective","कुशल","","Hábil","Hábil","Skillful","kushala","kuśala","kuzala","true","66"
"substantive","noun","कुसुम","neuter","Flor","Flor","Flower","kusuma","kusuma","kusuma","true","67"
"substantive","noun","कूप","masculine","Poço","Pozo","Well","kUpa","kūpa","kUpa","true","68"
"substantive","adjective","कृत्रिम","","Artificial","Artificial","Artificial","kRRitrima","kṛtrima","kRtrima","true","69"
"substantive","adjective","कृपण","","Miserável","Miserable","Miserable","kRRipaNa","kṛpaṇa","kRpaNa","true","70"
"substantive","noun","कृष्ण","masculine","Kṛṣṇa","Kṛṣṇa","Kṛṣṇa","kRRiShNa","kṛṣṇa","kRSNa","true","71"
"substantive","adjective","कृष्ण","","Preto","Negro","Black","kRRiShNa","kṛṣṇa","kRSNa","true","72"
"substantive","noun","केलि","feminine","Piada","Broma","Joke","keli","keli","keli","true","73"
"substantive","noun","कौन्तेय","masculine","Arjuna","Arjuna","Arjuna","kaunteya","kaunteya","kaunteya","true","74"
"substantive","noun","क्रोध","masculine","Raiva","Rabia","Anger","krodha","krodha","krodha","true","75"
"substantive","noun","क्षण","masculine","Momento","Momento, instante","Moment","kShaNa","kṣaṇa","kSaNa","true","76"
"substantive","adjective","क्षुद्र","","Pequeno, vulgar","Pequeño, vulgar","Small, vulgar","kShudra","kṣudra","kSudra","true","77"
"substantive","noun","क्षुध्","feminine","Fome","Hambre","Hunger","kShudh kShut)","kṣudh kṣut)","kSudh kSut)","true","78"
"substantive","noun","क्षेत्र","neuter","Campo","Campo","Field","kShetram","kṣetram","kSetram","true","79"
"substantive","adjective","खञ्ज","","Coxo, aleijado","Cojo, lisiado","Lame, crippled","kha~nja","khañja","khaJja","true","80"
"substantive","noun","गङ्गा","feminine","Ganges","Ganges","Ganges","ga~NgA","gaṅgā","gaGgA","true","81"
"substantive","noun","गज","masculine","Elefante","Elefante","Elephant","gaja","gaja","gaja","true","82"
"substantive","noun","गति","feminine","Movimento","Movimiento","Movement","gati","gati","gati","true","83"
"substantive","adjective","गन्तृ","","Caminhante","Caminante","Walker","gantRRi","gantṛ","gantR","true","84"
"substantive","noun","गमन","masculine","Ida","Ida","Ida","gamana","gamana","gamana","true","85"
"substantive","adjective","गानम्","","Canção","Canción","Song","gAnam","gānam","gAnam","true","86"
"substantive","noun","गिरि","masculine","Montanha","Montaña","Mountain","giri","giri","giri","true","87"
"substantive","noun","गुण","masculine","Virtude","Virtud","Virtue","guNa","guṇa","guNa","true","88"
"substantive","adjective","गुरु","","Pesado","Pesado","Heavy","guru","guru","guru","true","89"
"substantive","noun","गुरु","masculine","Professor","Profesor","Teacher","guru","guru","guru","true","90"
"substantive","noun","गृह","neuter","Casa","Casa","House","gRRiha","gṛha","gRha","true","91"
"substantive","noun","गृहिणी","feminine","Dona de casa","Ama de casa","Housewife","gRRihiNI","gṛhiṇī","gRhiNI","true","92"
"substantive","noun","गोपाल","masculine","Gopala","Gopala","Gopala","gopAla","gopāla","gopAla","true","93"
"substantive","noun","ग्राम","masculine","Vila","Villa; Aldea","Village; Village","grAma","grāma","grAma","true","94"
"substantive","noun","घट","masculine","Vaso","Jarrón","Vase","ghaTa","ghaṭa","ghaTa","true","95"
"substantive","noun","चक्र","neuter","Roda","Rueda","Wheel","chakram","cakram","cakram","true","96"
"substantive","noun","चञ्चु","feminine","Cúpula","Cima","Summit","cha~nchu","cañcu","caJcu","true","97"
"substantive","noun","चन्द्र","masculine","Lua","Luna","Moon","chandra","candra","candra","true","98"
"substantive","noun","चन्द्रमस्","masculine","Lua","Luna","Moon","chandramas chandramA)","candramas candramā)","candramas candramA)","true","99"
"substantive","noun","चमू","feminine","Exército","Ejército","Army","chamU","camū","camU","true","100"
"substantive","adjective","चारु","","Charmoso","Encantador","Charming","chAru","cāru","cAru","true","101"
"substantive","noun","चेतस्","neuter","Mente","Mente","Mind","chetas cheta)","cetas ceta)","cetas ceta)","true","102"
"substantive","noun","छाया","feminine","Sombra","Sombra","Shadow","ChAyA","chāyā","chAyA","true","103"
"substantive","noun","जन","masculine","Pessoa","Persona","Person","jana","jana","jana","true","104"
"substantive","noun","जनक","masculine","Pai","Padre","Father","janaka","janaka","janaka","true","105"
"substantive","noun","जननी","feminine","Mãe","Madre","Mother","jananI","jananī","jananI","true","106"
"substantive","noun","जल","neuter","Água","Agua","Water","jala","jala","jala","true","107"
"substantive","noun","जलमुच्","masculine","Nuvem","Nube","Cloud","jalamuch jalamuk)","jalamuc jalamuk)","jalamuc jalamuk)","true","108"
"substantive","noun","जानु","neuter","Joelho","Rodilla","Knee","jAnu","jānu","jAnu","true","109"
"substantive","noun","जामातृ","masculine","Genro","Yerno","Son-in-law","jAmAtRRi","jāmātṛ","jAmAtR","true","110"
"substantive","noun","जिह्वा","feminine","Língua","Lengua","Tongue","jihvA","jihvā","jihvA","true","111"
"substantive","noun","जीवन","neuter","Vida","Vida","Life","jIvana","jīvana","jIvana","true","112"
"substantive","noun","जेतृ","masculine","Conquistador","Conquistador","Conqueror","jetRRi","jetṛ","jetR","true","113"
"substantive","adjective","जेतृ","","Vitorioso","Victorioso","Victorious","jetRRi","jetṛ","jetR","true","114"
"substantive","noun","तडित्","feminine","Relâmpago","Rayo","Lightning","taDit","taḍit","taDit","true","115"
"substantive","noun","तनु","feminine","Corpo","Cuerpo","Body","tanu","tanu","tanu","true","116"
"substantive","noun","तरु","masculine","Árvore","Árbol","Tree","taru","taru","taru","true","117"
"substantive","noun","तापस","masculine","Asceta","Asceta","Ascetic","tApasa","tāpasa","tApasa","true","118"
"substantive","noun","तारा","feminine","Estrela","Estrella","Star","tArA","tārā","tArA","true","119"
"substantive","noun","तीर","neuter","Margem","Margen","Margin","tIram","tīram","tIram","true","120"
"substantive","adjective","तीव्र","","Afiado","Afilado","Sharp","tIvra","tīvra","tIvra","true","121"
"substantive","noun","तृण","neuter","Grama","Pasto","Grass","tRRiNa","tṛṇa","tRNa","true","122"
"substantive","noun","तृप्ति","feminine","Satisfação","Satisfacción","Satisfaction","tRRipti","tṛpti","tRpti","true","123"
"substantive","noun","त्वच्","feminine","Pele","Piel","Skin","tvach tvak)","tvac tvak)","tvac tvak)","true","124"
"substantive","adjective","दरिद्र","","Pobre","Pobre","Poor","daridra","daridra","daridra","true","125"
"substantive","noun","दर्शन","neuter","Visão","Visión","Vision","darshanam","darśanam","darzanam","true","126"
"substantive","noun","दशरथ","masculine","Daśaratha","Daśaratha","Daśaratha","dasharatha","daśaratha","dazaratha","true","127"
"substantive","noun","दातृ","masculine","Doador","Donador","Giver","dAtRRi","dātṛ","dAtR","true","128"
"substantive","adjective","दातृ","","Generoso","Generoso","Generous","dAtRRi","dātṛ","dAtR","true","129"
"substantive","noun","दारु","neuter","Madeira","Madera","Wood","dAru","dāru","dAru","true","130"
"substantive","noun","दास","masculine","Servo","Sirviente","Servant","dAsa","dāsa","dAsa","true","131"
"substantive","noun","दासी","feminine","Servo","Sirviente","Servant","dAsI","dāsī","dAsI","true","132"
"substantive","noun","दिश्","feminine","Direção","Dirección","Direction","dish dik)","diś dik)","diz dik)","true","133"
"substantive","noun","दुःख","neuter","Miséria, Sofrimento","Miseria, sufrimiento","Misery, Suffering","dukham","dukham","dukham","true","134"
"substantive","noun","दुर्जन","masculine","Mal","Mal","Evil","durjana","durjana","durjana","true","135"
"substantive","adjective","दुर्लभ","","Difícil de obter","Difícil de obtener","Hard to obtain","durlabha","durlabha","durlabha","true","136"
"substantive","noun","दुहितृ","feminine","Filha","Hija","Daughter","duhitRRi","duhitṛ","duhitR","true","137"
"substantive","noun","दूत","masculine","Mensageiro","Mensajero","Messenger","dUta","dūta","dUta","true","138"
"substantive","noun","देव","masculine","Divindade; Deidade; Senhor","Divindade; Deidade; Senhor","Divinity; Deity; Lord","deva","deva","deva","true","139"
"substantive","noun","देश","masculine","País; Região; Lugar","País; Región; Lugar","Country; Region; Place","desha","deśa","deza","true","140"
"substantive","noun","दैव","neuter","Destino","Destino","Destiny","daivam","daivam","daivam","true","141"
"substantive","noun","द्विज","masculine","Sacerdote, Brāhmaṇa (""nascido duas vezes"")","Sacerdote, Brāhmaṇa ""el nacido dos veces"")","Priest, Brāhmaṇa (""twice-born"")","dvija","dvija","dvija","true","142"
"substantive","adjective","द्वितीय","","Segundo","Segundo","Second","dvitIya","dvitīya","dvitIya","true","143"
"substantive","adjective","द्वे","","Dois","Dos","Two","dve","dve","dve","true","144"
"substantive","noun","धन","neuter","Propriedade, riqueza, dinheiro, tesouro","Propiedad, riqueza, dinero, tesoro","Property, wealth, money, treasure","dhana","dhana","dhana","true","145"
"substantive","noun","धर्म","masculine","Dever","Deber","Duty","dharma","dharma","dharma","true","146"
"substantive","noun","धात्री","feminine","Enfermeira","Enfermera","Nurse","dhAtrI","dhātrī","dhAtrI","true","147"
"substantive","noun","धूलि","feminine","Pó","Polvo","Dust","dhUli","dhūli","dhUli","true","148"
"substantive","noun","धेनु","feminine","Vaca","Vaca","Cow","dhenu","dhenu","dhenu","true","149"
"substantive","noun","ध्वनि","masculine","Som","Sonido","Sound","dhvani","dhvani","dhvani","true","150"
"substantive","noun","नगर","masculine","Cidade","Ciudad","City","nagara","nagara","nagara","true","151"
"substantive","noun","नगरी","feminine","Cidade","Ciudad","City","nagarI","nagarī","nagarI","true","152"
"substantive","noun","नदी","feminine","Rio","Río","River","nadI","nadī","nadI","true","153"
"substantive","noun","ननान्दृ","feminine","Cunhada (irmã do marido), nora","Cuñada hermana del marido), nuera","Sister-in-law (husband's sister)","nanAndRRi","nanāndṛ","nanAndR","true","154"
"substantive","noun","नप्तृ","masculine","Neto","Nieto","Grandson","naptRRi","naptṛ","naptR","true","155"
"substantive","noun","नर","masculine","Homem","Hombre","Man","nara","nara","nara","true","156"
"substantive","adjective","नव","","Novo","Nuevo","New","nava","nava","nava","true","157"
"substantive","noun","नारी","feminine","Mulher","Mujer","Woman","nArI","nārī","nArI","true","158"
"substantive","noun","नाश","masculine","Destruição","Destrucción","Destruction","nAsha","nāśa","nAza","true","159"
"substantive","adjective","नित्य","","Sempre, Perpétuo","Siempre, perpetuo","Always, Perpetual","nitya","nitya","nitya","true","160"
"substantive","noun","निधि","masculine","Tesouro","Tesoro","Treasure","nidhi","nidhi","nidhi","true","161"
"substantive","noun","नीति","feminine","Conduta","Conducta","Conduct","nIti","nīti","nIti","true","162"
"substantive","adjective","नीरुज","","Saudável","Saludable","Healthy","nIruja","nīruja","nIruja","true","163"
