word_type,word_devanagari,root_devanagari,verb_class,voice,standard_form,meaning_pt,meaning_es,meaning_en,past_imperfect,potential,imperative,past_participle,gerund,infinitive,ppp,itrans,iast,harvard_kyoto,is_published,order_index
"verb","√मन्","√मन्","4","atmanepada","मन्यते","Pensar","Pensar","To think","अमन्यत","मन्येत","मन्यताम्","मम्ने","मन्त्वा","मन्तुम्","मित","manyate","manyate","manyate","true","1"
"verb","√अस्","√अस्","2","parasmaipada","अस्ति","Ser, existir","Ser, existir","To be, to exist","आसीत्","स्यात्","अस्तु","आसीत् (o आस्ते en uso idiomático)","","","","asti","asti","asti","true","2"
"verb","√अस्","√अस्","4","parasmaipada","अस्यति","Jogar, brincar, arremessar","Lanzar, jugar, lanzar","To throw, to play, to hurl","आस्यात्","अस्येत्","अस्यतु","आसास्ये","अस्यित्वा","अस्यितुम्","असित","asyati","asyati","asyati","true","3"
"verb","√इष्","√इष्","6","parasmaipada","इच्छति","Querer, desejar","Querer, desear","To want, to desire","ऐच्छत्","इच्छेत्","इच्छतु","आइष","इच्छित्वा","इच्छितुम्","इष्ट","ichChati","icchati","icchati","true","4"
"verb","√ईक्ष्","√ईक्ष्","1","atmanepada","ईक्षते","Ver","Ver","To see","ऐक्षत","ईक्षेत","ईक्षताम्","ईक्षे","ईक्षित्वा","ईक्षितुम्","ईक्षित","IkShate","īkṣate","IkSate","true","5"
"verb","√कथ्","√कथ्","10","ubhayapada","कथयति","Dizer","Decir","To say","अकथयत्","कथयेत्","कथयतु","चकथय","कथयित्वा","कथयितुम्","कथित","kathayati","kathayati","kathayati","true","6"
"verb","√कम्प्","√कम्प्","1","atmanepada","कम्पते","Tremer, pressionar","Temblar, pulsar","To tremble, to press","अकम्पत","कम्पेत","कम्पताम्","चकम्पे","कम्पित्वा","कम्पितुम्","कम्पित","kampate","kampate","kampate","true","7"
"verb","√कुप्","√कुप्","4","parasmaipada","कुप्यति","Ir à raiva (+4°C)","Estar enojado (+4°c)","To be angry (+4°C)","अकुप्यत्","कुप्येत्","कुप्यतु","चकुप्य","कुप्यित्वा","कुप्यितुम्","कुपित","kupyati","kupyati","kupyati","true","8"
"verb","√कृ","√कृ","8","ubhayapada","करोति","Fazer, trabalhar","Hacer, trabajar","To do, to work","अकरोत्","कुर्यात्","करोतु","चकार","कृत्वा","कर्तुम्","कृत","karoti","karoti","karoti","true","9"
"verb","√कृ (caus)","√कृ (caus)","8","ubhayapada","कारयति","Fazer, estabelecer","Hacer, establecer","To make, to establish","अकारयत्","कारयेत्","कारयतु","चकारय","कारयित्वा","कारयितुम्","कारित","kArayati","kārayati","kArayati","true","10"
"verb","√कृत्","√कृत्","6","parasmaipada","कृन्तति","Cortar","Cortar","To cut","अक्रिन्तत्","कृन्तेत्","कृन्ततु","चकृन्त","कृन्तित्वा","कृन्तितुम्","कृत","kRRintati","kṛntati","kRntati","true","11"
"verb","√कृष्","√कृष्","1","parasmaipada","कर्षति","Pegar, arrastar","Tomar, arrastrar","To take, to drag","अकर্ষत्","कर्षेत्","कर्षतु","चकार्ष","कर्षित्वा","कर्षितुम्","कृष्ट","karShati","karṣati","karSati","true","12"
"verb","√कृष्","√कृष्","6","ubhayapada","कृषति","Arar, arar","Arar, arar","To plow, to plow","अकृषत्","कृष्येत्","कृष्यताम्","चकृषे","कृषित्वा","कृषितुम्","कृषित","kRRiShati","kṛṣati","kRSati","true","13"
"verb","√कृष्णाय","√कृष्णाय","","atmanepada","कृष्णायते","Fazer preto","Hacer negro","To make black","अकृष्णायत","कृष्णायेत","कृष्णायताम्","चकृष्णाय","कृष्णायित्वा","कृष्णायितुम्","कृष्णीत","kRRiShNAyate","kṛṣṇāyate","kRSNAyate","true","14"
"verb","√कॢप्","√कॢप्","1","atmanepada","कल्पते","Estar em forma (+4°C)","Estar en forma (+4°c)","To be fit (+4°C)","अकल्पत","कल्पेत","कल्पताम्","चकल्पे","कल्पित्वा","कल्पितुम्","कल्पित","kalpate","kalpate","kalpate","true","15"
"verb","√क्रीड्","√क्रीड्","1","parasmaipada","क्रीडति","Jogar","Jugar","To play","अक्रीडत्","क्रीडेत्","क्रीडतु","चक्रीड","क्रीडित्वा","क्रीडितुम्","क्रीडित","krIDati","krīḍati","krIDati","true","16"
"verb","√क्षम्","√क्षम्","4","parasmaipada","क्षाम्यति","Perdoar","Perdonar","To forgive","अक्षाम्यत्","क्षाम्येत्","क्षाम्यतु","चक्षाम्य","क्षाम्यित्वा","क्षाम्यितुम्","क्षमित","kShAmyati","kṣāmyati","kSAmyati","true","17"
"verb","√क्षल्","√क्षल्","10","ubhayapada","क्षालयति","Lavar","Lavar","To wash","अक्षालयत्","क्षालयेत्","क्षालयतु","चक्षालय","क्षालयित्वा","क्षालयितुम्","क्षालित","kShAlayati","kṣālayati","kSAlayati","true","18"
"verb","√क्षिप्","√क्षिप्","4","parasmaipada","क्षिपति","Jogar","Arrojar","To throw","अक्षिपत्","क्षिपेत्","क्षिपतु","चक्षिप","क्षिपित्वा","क्षिपितुम्","क्षिप्त","kShipati","kṣipati","kSipati","true","19"
"verb","√खण्ड्","√खण्ड्","10","parasmaipada","खण्डयति","Fender","Partir","To split","अखण्डयत्","खण्डयेत्","खण्डयतु","चखण्डय","खण्डयित्वा","खण्डयितुम्","खण्डित","khaNDayati","khaṇḍayati","khaNDayati","true","20"
"verb","√खन्","√खन्","1","ubhayapada","खनति","Cavar","Cavar","To dig","अखनत्","खन्येत्","खन्यताम्","चख्ने","खनित्वा","खनितुम्","खनित","khanati","khanati","khanati","true","21"
"verb","√खाद्","√खाद्","1","parasmaipada","खादति","Comer","Comer","To eat","अखादत्","खादेत्","खादतु","चखाद","खादित्वा","खादितुम्","खादित","khAdati","khādati","khAdati","true","22"
"verb","√गण्","√गण्","10","ubhayapada","गणयति","Dizer","Decir","To say","अगणयत्","गणयेत्","गणयतु","जगणयौ","गणयित्वा","गणयितुम्","गणित","gaNayati","gaṇayati","gaNayati","true","23"
"verb","√गम्","√गम्","1","parasmaipada","गच्छति","Ir","Ir","To go","अगच्छत्","गच्छेत्","गच्छतु","जगाम","गत्वा","गन्तुम्","गत","gachChati","gacchati","gacchati","true","24"
"verb","√गाह्","√गाह्","1","atmanepada","गाहते","Mergulhando","Zambullirse","To dive","अगाहित","गाहेत","गाहिताम्","जगाहे","गाहित्वा","गाहितुम्","गाहित","gAhate","gāhate","gAhate","true","25"
"verb","√गुह्","√गुह्","1","ubhayapada","गूहति","Escondendo","Ocultar","To hide","अगूहत्","गूहेत्","गूहतु","जुगूह","गूहित्वा","गूहितुम्","गूढ","gUhati","gūhati","gUhati","true","26"
"verb","√गै","√गै","1","parasmaipada","गायति","Cantar","Cantar","To sing","अगायत्","गायेत्","गायतु","जगौ","गायतित्वा / गात्वा","गातुम्","गीत","gAyati","gāyati","gAyati","true","27"
"verb","√ग्रह्","√ग्रह्","9","ubhayapada","गृह्यते","Pegar, agarrar","Atrapar, Apoderarse","To catch, to seize","अगृह्यत","गृह्येत","गृह्यताम्","जग्रहे","गृह्यित्वा","गृह्यितुम्","गृहीत","gRRihyate","gṛhyate","gRhyate","true","28"
"verb","√घुष्","√घुष्","10","ubhayapada","घोषयति","Proclamar","Proclamar","To proclaim","अघोषयत्","घोषयेत्","घोषयतु","जघोषयौ","घोषयित्वा","घोषयितुम्","घोषित","ghoShayati","ghoṣayati","ghoSayati","true","29"
"verb","√घ्रा","√घ्रा","1","parasmaipada","जिघ्रति","Cheirar","Oler","To smell","अजिघ्रत्","जिघ्र्यात्","जिघ्रतु","जग्रौ","जिघ्रित्वा","जिघ्रितुम्","घ्रात","jighrati","jighrati","jighrati","true","30"
"verb","√चर्","√चर्","1","parasmaipada","चरति","Mover-se","Mover","To move","अचरत्","चरेत्","चरतु","चकार","चरित्वा","चरितुम्","चरित","charati","carati","carati","true","31"
"verb","√चल्","√चल्","1","parasmaipada","चलति","Mover-se (+4°C)","Moversse)","To move (+4°C)","अचलत्","चलेत्","चलतु","चचाल","चलित्वा","चलितुम्","चलित","chalati","calati","calati","true","32"
"verb","√चिन्त्","√चिन्त्","10","ubhayapada","चिन्तयति","Pensar","Pensar","To think","अचिन्तयत्","चिन्तयेत्","चिन्तयतु","चिचिन्तयौ","चिन्तयित्वा","चिन्तयितुम्","चिन्तित","chintayati","cintayati","cintayati","true","33"
"verb","√चुर्","√चुर्","10","ubhayapada","चोरयति","Roubar","Robar","To steal","अचोरयत्","चोरयेत्","चोरयतु","चचोरयौ","चोरयित्वा","चोरयितुम्","चोरित","chorayati","corayati","corayati","true","34"
"verb","√छद्","√छद्","10","ubhayapada","छादयति","Cobrir","Cubrir","To cover","अछादयत्","छादयेत्","छादयतु","चछादयौ","छादयित्वा","छादयितुम्","छन्न","ChAdayati","chādayati","chAdayati","true","35"
"verb","√जन्","√जन्","4","atmanepada","जायते","Nascer","Nacer","To be born","अजायत","जायेत","जायताम्","जज्ञे","जात्वा","जातुम्","जात","jAyate","jāyate","jAyate","true","36"
"verb","√जि","√जि","1","parasmaipada","जयति","Triunfar; Vencer; Conquistar","Triunfar; Vencer; Conquistar","To triumph; To overcome; Conquer","अजयत्","जयेते","जयतु","जिजय","जित्वा","जेतुम् / जयितुम्","जित","jayati","jayati","jayati","true","37"
"verb","√जीव्","√जीव्","1","parasmaipada","जीवति","Viver","Vivir","Live","अजिवत्","जीवेत्","जीवतु","जिजीव","जीवित्वा","जीवितुम्","जीवित","jIvati","jīvati","jIvati","true","38"
"verb","√डी","√डी","4","atmanepada","डीयते","Voar","Volar","Fly","अडीयत","डीयेत","डीयताम्","दिडे","डीयित्वा","डीयितुम्","डीत","DIyate","ḍīyate","DIyate","true","39"
"verb","√तड्","√तड्","10","ubhayapada","ताडयति","Vencer","Ganar","Win","अताडयत्","ताडयेत्","ताडयतु","तताडयौ","ताडयित्वा","ताडयितुम्","ताडित","tADayati","tāḍayati","tADayati","true","40"
"verb","√तुद्","√तुद्","6","ubhayapada","तुदति","Atacar","Golpear","Strike","अतुदत्","तुदेत्","तुदतु","तुतोद","तुत्त्वा","तोत्तुम्","तुन्न","tudati","tudati","tudati","true","41"
"verb","√तुल्","√तुल्","10","ubhayapada","तोलयति","Arrepender-se","Lamentar","Regret","अतोलयत्","तोलयेत्","तोलयतु","तुतोलयौ","तोलयित्वा","तोलयितुम्","तोलित","tolayati","tolayati","tolayati","true","42"
"verb","√तुष्","√तुष्","4","parasmaipada","तुष्यति","Ficar satisfeito ou satisfeito, ser feliz ou encantado com algo (geralmente com instruções)","Estar contento o satisfecho, estar contento o encantado con algo generalmente con instr.)","Be pleased or satisfied, be happy or delighted with something (usually with instr.)","अतुष्यत्","तुष्येत्","तुष्यतु","तुतोष","तुष्ट्वा","तोष्टुम्","तुष्ट","tuShyati","tuṣyati","tuSyati","true","43"
"verb","√त्यज्","√त्यज्","1","parasmaipada","त्यजति","Abandonar","Abandonar","Abandon","अत्यजत्","त्यजेत्","त्यजतु","तत्याज","त्यक्त्वा","त्यजितुम् / त्यक्तुम्","त्यक्त","tyajati","tyajati","tyajati","true","44"
"verb","√दण्ड्","√दण्ड्","10","ubhayapada","दण्डयति","Punir, repreender","Castigar, reprender","Punish, reprimand","अदण्डयत्","दण्डयेत्","दण्डयतु","ददण्डयौ","दण्डयित्वा","दण्डयितुम्","दण्डित","daNDayati","daṇḍayati","daNDayati","true","45"
"verb","√दंश्","√दंश्","1","parasmaipada","दंशति","Morder","Morder","Bite","अदंशत्","दंशेत्","दंशतु","ददंश","दंशित्वा","दंशितुम्","दष्ट","daMshati","daṃśati","daMzati","true","46"
"verb","√दह्","√दह्","1","parasmaipada","दहति","Queimar","Quemar","Burn","अदहत्","दहेत्","दहतु","ददाह","दग्ध्वा","दहितुम् / दग्धुम्","दग्ध","dahati","dahati","dahati","true","47"
"verb","√दा","√दा","3","ubhayapada","ददाति","Dar, conceder, conceder, oferecer, ceder, transmitir, apresentar","Dar, conceder, otorgar, ofrecer, ceder, impartir, presentar","Give, grant, bestow, offer, yield, impart, present","अददत्","दद्यात्","ददातु","ददौ","दत्त्वा","दातुम्","दत्त","dadAti","dadāti","dadAti","true","48"
"verb","√दा","√दा","1","parasmaipada","यच्छति","Dar, conceder, conceder, oferecer","Dar, conceder, otorgar, ofrecer","Give, concede, bestow, offer","अयच्छत्","यच्छेत्","यच्छतु","ययाम","यत्वा","यमितुम् / यन्तुम्","यत","yachChati","yacchati","yacchati","true","49"
"verb","√दिव्","√दिव्","4","parasmaipada","दीव्यति","Jogar","Jugar","Play","अदीव्यत्","दीव्येत्","दीव्यतु","दिद्यिव","दीव्यित्वा","दीव्यितुम्","दीवित","dIvyati","dīvyati","dIvyati","true","50"
"verb","√दिश्","√दिश्","6","ubhayapada","दिशति / दिशते","Apontar, mostrar, exibir","Señalar, mostrar, exhibir","Point, show, exhibit","अदिशत्","दिशेत्","दिशतु","दिदेश","दिष्ट्वा","देष्टुम्","दिष्ट","dishati / dishate","diśati / diśate","dizati / dizate","true","51"
"verb","√दृश्","√दृश्","1","parasmaipada","पश्यति","Ver, olhar","Ver, mirar","See, look","अपश्यत्","पश्येत्","पश्यतु","ददर्श","दृष्ट्वा","द्रष्टुम्","दृष्ट","pashyati","paśyati","pazyati","true","52"
"verb","√द्रु","√द्रु","1","parasmaipada","द्रवति","Fluir","Fluir","Flow","अद्रवत्","द्रवेत्","द्रवतु","दुद्राव","द्रुत्वा","द्रोतुम्","द्रुत","dravati","dravati","dravati","true","53"
"verb","√धाव्","√धाव्","1","parasmaipada","धावति","Correr","Correr","Run","अधावत्","धावेत्","धावतु","दधाव","धाव्त्वा / धावित्वा","धावितुम्","धावित","dhAvati","dhāvati","dhAvati","true","54"
"verb","√धृ","√धृ","10","ubhayapada","धारयति","Deve","Deber","Must","अधारयत्","धारयेत्","धारयतु","दधारयौ","धारयित्वा","धारयितुम्","धृत","dhArayati","dhārayati","dhArayati","true","55"
"verb","√ध्मा","√ध्मा","1","parasmaipada","धमति","Soprar","Soplar","Blow","अधमत्","धमेत्","धमतु","दध्मौ","धमित्वा","धमितुम्","ध्मात","dhamati","dhamati","dhamati","true","56"
"verb","√नम्","√नम्","1","parasmaipada","नमति","Cumprimentar","Saludar","Greet","अनमत्","नमेत्","नमतु","ननाम","नत्वा","नमितुम्","नत","namati","namati","namati","true","57"
