सुबन्तं,लिङ्ग,Portugués,Español,Inglés,ITRANS,IATS,Harvard-Kyoto
अग्नि,m,Fogo,Fuego,Fire,agni,agni,agni
अङ्गार,m,Carvão,Carbón,Coal,a~NgAra,aṅgāra,aGgAra
अतिथि,m,Convidado (अतति गच्छति न तिष्ठति),Invitado अतति गच्छति न तिष्ठति),Guest (अतति गच्छति न तिष्ठति),atithi,atithi,atithi
अदस्,p,Aquilo/aquilo,Eso/aquello,That/that,adas,adas,adas
अनिल,m,Vento,Viento,Wind,anila,anila,anila
अन्ध,a,Cego,Ciego,Blind,andha,andha,andha
अन्न,n,Alimento; Alimento,Comida; Alimento,Food,anna,anna,anna
अभिधेयम्,n,Nome,Nombre,Name,abhidheyam,abhidheyam,abhidheyam
अम्बु,n,Água,Agua,Water,ambu,ambu,ambu
अरि,m,Inimigo,Enemigo,Enemy,ari,ari,ari
अर्थ,m,"Prosperidade, Fortuna","Prosperidad, Fortuna","Prosperity, Fortune",artha,artha,artha
अलि,m,Abelha,Abeja,Bee,ali,ali,ali
अश्रु,n,Lágrima,Lágrima,Tear,ashru,aśru,azru
अश्व,m,Cavalo,Caballo,Horse,ashva,aśva,azva
असि,m,Espada,Espada,Sword,asi,asi,asi
असृज्,n,Sangue,Sangre,Blood,asRRij asRRik),asṛj asṛk),asRj asRk)
आकाश,m,"Céu, Espaço","Cielo, Espacio","Sky, Space",AkAsha,ākāśa,AkAza
आगम,m,Chegada,Llegada,Arrival,Agama,āgama,Agama
आचार,m,Conduta,Conducta,Conduct,AchAra,ācāra,AcAra
आचार्य,m,Preceptor Mestre,"Preceptor, Maestro",Preceptor Master,AchArya,ācārya,AcArya
आदेश,m,Ordem,Orden,Order,Adesha,ādeśa,Adeza
आद्य,a,Primeiro,Primero,First,Adya,ādya,Adya
आनन,n,"Boca, rosto","Boca, cara","Mouth, face",Anana,ānana,Anana
आपद्,f,Adversidade,Adversidad,Adversity,Apad Apat),āpad āpat),Apad Apat)
आरोग्यम्,n,Saúde,Salud,Health,Arogyam,ārogyam,Arogyam
आशा,f,Esperança,Esperanza,Hope,AshA,āśā,AzA
आशु,a,Rápido,Rápido,Fast,Ashu,āśu,Azu
आश्रम,m,āśrama,āśrama,āśrama,Ashrama,āśrama,Azrama
आहार,m,Alimento,Comida,Food,AhAra,āhāra,AhAra
इदम्,p,Isto,Esto,This,idam,idam,idam
इन्दु,m,Lua,Luna,Moon,indu,indu,indu
इन्धन,n,Combustível,Combustible,Fuel,indhanam,indhanam,indhanam
इषु,m,Flecha,Flecha,Arrow,iShu,iṣu,iSu
ईश्वर,m,Īśvara,Īśvara,Īśvara,Ishvara,īśvara,Izvara
उदधि,m,Oceano,Océano,Ocean,udadhi,udadhi,udadhi
उदार,a,Generoso,Generoso,Generous,udAra,udāra,udAra
उद्भिद्,m,Planta,Planta,Plant,udbhid udbhit),udbhid udbhit),udbhid udbhit)
उद्यम,m,Esforço,Esfuerzo,Effort,udyama,udyama,udyama
उद्यान,n,Jardim,Jardín,Garden,udyAna,udyāna,udyAna
उरस्,n,Baú,Pecho,Chest,uras ura),uras ura),uras ura)
उष्ण,a,Quente,Caliente,Hot,uShNa,uṣṇa,uSNa
ऋच्,f,Hino,Himno,Hymn,RRich RRik),ṛc ṛk),Rc Rk)
ऋत्वज्,m,Sacerdote,Sacerdote,Priest,RRitvaj RRitvak),ṛtvaj ṛtvak),Rtvaj Rtvak)
ऋषि,m,Vidente,Vidente,Seer,RRiShi,ṛṣi,RSi
एक,a,Um,Uno,One,eka,eka,eka
औषधम्,n,Medicina,Medicina,Medicine,auShadham,auṣadham,auSadham
कथा,f,História,Historia,History,kathA,kathā,kathA
कनक,n,Ouro,Oro,Gold,kanaka,kanaka,kanaka
कन्या,f,Filha,Hija,Daughter,kanyA,kanyā,kanyA
कपि,m,Macaco,Mono,Monkey,kapi,kapi,kapi
कपोत,m,Pombo,Paloma,Pigeon,kapota,kapota,kapota
कमल,n,Lótus,Loto,Lotus,kamala,kamala,kamala
कर,m,Mão; Tromba,Mano; Trompa,Hand; Trunk,kara,kara,kara
कर्तृ,a,Fazedor,Hacedor,Doer,kartRRi,kartṛ,kartR
कर्तृ,m,Fazedor,Hacedor,Doer,kartRRi,kartṛ,kartR
कर्तृ,n,Fazedor (aquele que realiza uma ação),Hacedor el que realiza una acción),Doer (one who performs an action),kartRRi,kartṛ,kartR
कलि,m,"Luta, discussão, guerra, batalha","Lucha, pelea, guerra, batalla","Fight, quarrel, war, battle",kali,kali,kali
कवि,m,Poeta,Poeta,Poet,kavi,kavi,kavi
काक,m,Corvo,Cuervo,Crow,kAka,kāka,kAka
काण,a,Caolho,Tuerto,One-eyed,kANa,kāṇa,kANa
काम,m,Desejo,Deseo,Desire,kAma,kāma,kAma
कारण,n,"Causa, razão, motivo","Causa, razón, motivo","Cause, reason, motive",kAraNa,kāraṇa,kAraNa
कार्य,n,"Trabalho, Negócios; Ação; Efeito oposto de (कारण)","Trabajo, Negocio; Acción; Efecto opuesto de कारण)","Work, Business; Action; Opposite effect of (कारण)",kArya,kārya,kArya
काव्य,n,Poema,Poema,Poem,kAvyam,kāvyam,kAvyam
कुम्भकर्ण,m,Kumbhakarṇa,Kumbhakarṇa,Kumbhakarṇa,kumbhakarNa,kumbhakarṇa,kumbhakarNa
कुशल,a,Hábil,Hábil,Skillful,kushala,kuśala,kuzala
कुसुम,n,Flor,Flor,Flower,kusuma,kusuma,kusuma
कूप,m,Poço,Pozo,Well,kUpa,kūpa,kUpa
कृत्रिम,a,Artificial,Artificial,Artificial,kRRitrima,kṛtrima,kRtrima
कृपण,a,Miserável,Miserable,Miserable,kRRipaNa,kṛpaṇa,kRpaNa
कृष्ण,m,Kṛṣṇa,Kṛṣṇa,Kṛṣṇa,kRRiShNa,kṛṣṇa,kRSNa
कृष्ण,a,Preto,Negro,Black,kRRiShNa,kṛṣṇa,kRSNa
केलि,f,Piada,Broma,Joke,keli,keli,keli
कौन्तेय,m,Arjuna,Arjuna,Arjuna,kaunteya,kaunteya,kaunteya
क्रोध,m,Raiva,Rabia,Anger,krodha,krodha,krodha
क्षण,m,Momento,"Momento, instante",Moment,kShaNa,kṣaṇa,kSaNa
क्षुद्र,a,"Pequeno, vulgar","Pequeño, vulgar","Small, vulgar",kShudra,kṣudra,kSudra
क्षुध् ,f,Fome,Hambre,Hunger,kShudh kShut),kṣudh kṣut),kSudh kSut)
क्षेत्र,n,Campo,Campo,Field,kShetram,kṣetram,kSetram
खञ्ज,a,"Coxo, aleijado","Cojo, lisiado","Lame, crippled",kha~nja,khañja,khaJja
गङ्गा,f,Ganges,Ganges,Ganges,ga~NgA,gaṅgā,gaGgA
गज,m,Elefante,Elefante,Elephant,gaja,gaja,gaja
गति,f,Movimento,Movimiento,Movement,gati,gati,gati
गन्तृ,a,Caminhante,Caminante,Walker,gantRRi,gantṛ,gantR
गमन,m,Ida,Ida,Ida,gamana,gamana,gamana
गानम्,a,Canção,Canción,Song,gAnam,gānam,gAnam
गिरि,m,Montanha,Montaña,Mountain,giri,giri,giri
गुण,m,Virtude,Virtud,Virtue,guNa,guṇa,guNa
गुरु,a,Pesado,Pesado,Heavy,guru,guru,guru
गुरु,m,Professor,Profesor,Teacher,guru,guru,guru
गृह,n,Casa,Casa,House,gRRiha,gṛha,gRha
गृहिणी,f,Dona de casa,Ama de casa,Housewife,gRRihiNI,gṛhiṇī,gRhiNI
गोपाल,m,Gopala,Gopala,Gopala,gopAla,gopāla,gopAla
ग्राम,m,Vila,Villa; Aldea,Village; Village,grAma,grāma,grAma
घट,m,Vaso,Jarrón,Vase,ghaTa,ghaṭa,ghaTa
चक्र,n,Roda,Rueda,Wheel,chakram,cakram,cakram
चञ्चु,f,Cúpula,Cima,Summit,cha~nchu,cañcu,caJcu
चन्द्र,m,Lua,Luna,Moon,chandra,candra,candra
चन्द्रमस्,m,Lua,Luna,Moon,chandramas chandramA),candramas candramā),candramas candramA)
चमू,f,Exército,Ejército,Army,chamU,camū,camU
चारु,a,Charmoso,Encantador,Charming,chAru,cāru,cAru
चेतस्,n,Mente,Mente,Mind,chetas cheta),cetas ceta),cetas ceta)
छाया,f,Sombra,Sombra,Shadow,ChAyA,chāyā,chAyA
जन,m,Pessoa,Persona,Person,jana,jana,jana
जनक,m,Pai,Padre,Father,janaka,janaka,janaka
जननी,f,Mãe,Madre,Mother,jananI,jananī,jananI
जल,n,Água,Agua,Water,jala,jala,jala
जलमुच्,m,Nuvem,Nube,Cloud,jalamuch jalamuk),jalamuc jalamuk),jalamuc jalamuk)
जानु,n,Joelho,Rodilla,Knee,jAnu,jānu,jAnu
जामातृ,m,Genro,Yerno,Son-in-law,jAmAtRRi,jāmātṛ,jAmAtR
जिह्वा,f,Língua,Lengua,Tongue,jihvA,jihvā,jihvA
जीवन,n,Vida,Vida,Life,jIvana,jīvana,jIvana
जेतृ,m,Conquistador,Conquistador,Conqueror,jetRRi,jetṛ,jetR
जेतृ,a,Vitorioso,Victorioso,Victorious,jetRRi,jetṛ,jetR
तडित्,f,Relâmpago,Rayo,Lightning,taDit,taḍit,taDit
तनु,f,Corpo,Cuerpo,Body,tanu,tanu,tanu
तरु,m,Árvore,Árbol,Tree,taru,taru,taru
तापस,m,Asceta,Asceta,Ascetic,tApasa,tāpasa,tApasa
तारा,f,Estrela,Estrella,Star,tArA,tārā,tArA
तीर,n,Margem,Margen,Margin,tIram,tīram,tIram
तीव्र,a,Afiado,Afilado,Sharp,tIvra,tīvra,tIvra
तृण,n,Grama,Pasto,Grass,tRRiNa,tṛṇa,tRNa
तृप्ति,f,Satisfação,Satisfacción,Satisfaction,tRRipti,tṛpti,tRpti
त्वच्,f,Pele,Piel,Skin,tvach tvak),tvac tvak),tvac tvak)
दरिद्र,a,Pobre,Pobre,Poor,daridra,daridra,daridra
दर्शन,n,Visão,Visión,Vision,darshanam,darśanam,darzanam
दशरथ,m,Daśaratha,Daśaratha,Daśaratha,dasharatha,daśaratha,dazaratha
दातृ,m,Doador,Donador,Giver,dAtRRi,dātṛ,dAtR
दातृ,a,Generoso,Generoso,Generous,dAtRRi,dātṛ,dAtR
दारु,n,Madeira,Madera,Wood,dAru,dāru,dAru
दास,m,Servo,Sirviente,Servant,dAsa,dāsa,dAsa
दासी,f,Servo,Sirviente,Servant,dAsI,dāsī,dAsI
दिश्,f,Direção,Dirección,Direction,dish dik),diś dik),diz dik)
दुःख,n,"Miséria, Sofrimento","Miseria, sufrimiento","Misery, Suffering",dukham,dukham,dukham
दुर्जन,m,Mal,Mal,Evil,durjana,durjana,durjana
दुर्लभ,a,Difícil de obter,Difícil de obtener,Hard to obtain,durlabha,durlabha,durlabha
दुहितृ,f,Filha,Hija,Daughter,duhitRRi,duhitṛ,duhitR
दूत,m,Mensageiro,Mensajero,Messenger,dUta,dūta,dUta
देव,m,Divindade; Deidade; Senhor,Divindade; Deidade; Senhor,Divinity; Deity; Lord,deva,deva,deva
देश,m,País; Região; Lugar,País; Región; Lugar,Country; Region; Place,desha,deśa,deza
दैव,n,Destino,Destino,Destiny,daivam,daivam,daivam
द्विज,m,"Sacerdote, Brāhmaṇa (""nascido duas vezes"")","Sacerdote, Brāhmaṇa ""el nacido dos veces"")","Priest, Brāhmaṇa (""twice-born"")",dvija,dvija,dvija
द्वितीय,a,Segundo,Segundo,Second,dvitIya,dvitīya,dvitIya
द्वे,a,Dois,Dos,Two,dve,dve,dve
धन,n,"Propriedade, riqueza, dinheiro, tesouro","Propiedad, riqueza, dinero, tesoro","Property, wealth, money, treasure",dhana,dhana,dhana
धर्म,m,Dever,Deber,Duty,dharma,dharma,dharma
धात्री,f,Enfermeira,Enfermera,Nurse,dhAtrI,dhātrī,dhAtrI
धूलि,f,Pó,Polvo,Dust,dhUli,dhūli,dhUli
धेनु,f,Vaca,Vaca,Cow,dhenu,dhenu,dhenu
ध्वनि,m,Som,Sonido,Sound,dhvani,dhvani,dhvani
नगर,m,Cidade,Ciudad,City,nagara,nagara,nagara
नगरी,f,Cidade,Ciudad,City,nagarI,nagarī,nagarI
नदी,f,Rio,Río,River,nadI,nadī,nadI
ननान्दृ,f,"Cunhada (irmã do marido), nora","Cuñada hermana del marido), nuera",Sister-in-law (husband's sister),nanAndRRi,nanāndṛ,nanAndR
नप्तृ,m,Neto,Nieto,Grandson,naptRRi,naptṛ,naptR
नर ,m,Homem,Hombre,Man,nara,nara,nara
नव,a,Novo,Nuevo,New,nava,nava,nava
नारी,f,Mulher,Mujer,Woman,nArI,nārī,nArI
नाश,m,Destruição,Destrucción,Destruction,nAsha,nāśa,nAza
नित्य,a,"Sempre, Perpétuo","Siempre, perpetuo","Always, Perpetual",nitya,nitya,nitya
निधि,m,Tesouro,Tesoro,Treasure,nidhi,nidhi,nidhi
नीति,f,Conduta,Conducta,Conduct,nIti,nīti,nIti
नीरुज,a,Saudável,Saludable,Healthy,nIruja,nīruja,nIruja
नील,a,Azul,Azul,Blue,nIla,nīla,nIla
नृप,m,Rei,Rey,King,nRRipa,nṛpa,nRpa
नृपति,m,Rei,Rey,King,nRRipati,nṛpati,nRpati
नेतृ,m,Líder,Líder,Leader,netRRi,netṛ,netR
नेत्र,n,Olho,Ojo,Eye,netram,netram,netram
पत्नी,f,Esposa,Esposa,Wife,patnI,patnī,patnI
पत्र,n,Folha,Hoja,Leaf,patram,patram,patram
पथ्य,a,Bom/saudável,Bueno/saludable,Good/healthy,pathya,pathya,pathya
पद्म,n,Lótus,Loto,Lotus,padmam,padmam,padmam
पय,n,Água Leite,"Agua, leche",Water Milk,payam paya),payam paya),payam paya)
परशु,m,Machado,Hacha,Axe,parashu,paraśu,parazu
परिव्राज्,m,Mendigo,Mendigo,Beggar,parivrAj parivrAT),parivrāj parivrāṭ),parivrAj parivrAT)
परिषद्,f,Assembleia,Asamblea,Assembly,pariShad pariShat),pariṣad pariṣat),pariSad pariSat)
पर्वत,m,Montanha,Montaña,Mountain,parvata,parvata,parvata
पवन,m,Vento/Ar,Viento/Aire,Wind/Air,pavana,pavana,pavana
पशु,m,"Besta, Animal","Bestia, animal",Beast Animal,pashu,paśu,pazu
पाणि,m,Mão,Mano,Hand,pANi,pāṇi,pANi
पात्र,n,Copo,Vaso,Glass,pAtram,pātram,pAtram
पाप,n,Pāpa (resultado negativo de uma ação),Pāpa (resultado negativo de una acción),Pāpa (negative result of an action),pApa,pāpa,pApa
पारिषद,m,Cortesão,Cortesano,Courtier,pAriShada,pāriṣada,pAriSada
पितृ,m,Pai,Padre,Father,pitRRi,pitṛ,pitR
पीत,a,Amarelo,Amarillo,Yellow,pIta,pīta,pIta
