धातु,गण,पद,तिङन्तं लट्,Portugués,Español,Inglés,लङ् / Pasado Imperfecto,लिङ् / Potencial,लोट् / Imperativo,लिट् / Pasado Perfecto,क्त्वा / Gerundio,तुमुन् / Infinitivo,क्त / PPP,ITRANS,IATS,Harvard-Kyoto
 √मन्,4,A,मन्यते,Pensar,Pensar,To think,अमन्यत,मन्येत,मन्यताम्,मम्ने,मन्त्वा,मन्तुम्,मित,manyate,manyate,manyate
√अस्,2,P,अस्ति,"Ser, existir","Ser, existir","To be, to exist",आसीत्,स्यात्,अस्तु,आसीत् (o आस्ते en uso idiomático),—,—,—,asti,asti,asti
√अस्,4,P,अस्यति,"Jogar, brincar, arremessar","Lanzar, jugar, lanzar","To throw, to play, to hurl",आस्यात्,अस्येत्,अस्यतु,आसास्ये,अस्यित्वा,अस्यितुम्,असित,asyati,asyati,asyati
√इष्,6,P,इच्छति,"Querer, desejar","Querer, desear","To want, to desire",ऐच्छत्,इच्छेत्,इच्छतु,आइष,इच्छित्वा,इच्छितुम्,इष्ट,ichChati,icchati,icchati
√ईक्ष्,1,A,ईक्षते,Ver,Ver,To see,ऐक्षत,ईक्षेत,ईक्षताम्,ईक्षे,ईक्षित्वा,ईक्षितुम्,ईक्षित,IkShate,īkṣate,IkSate
√कथ्,10,U,कथयति,Dizer,Decir,To say,अकथयत्,कथयेत्,कथयतु,चकथय,कथयित्वा,कथयितुम्,कथित,kathayati,kathayati,kathayati
√कम्प्,1,A,कम्पते,"Tremer, pressionar","Temblar, pulsar","To tremble, to press",अकम्पत,कम्पेत,कम्पताम्,चकम्पे,कम्पित्वा,कम्पितुम्,कम्पित,kampate,kampate,kampate
√कुप्,4,P,कुप्यति,Ir à raiva (+4°C),Estar enojado (+4°c),To be angry (+4°C),अकुप्यत्,कुप्येत्,कुप्यतु,चकुप्य,कुप्यित्वा,कुप्यितुम्,कुपित,kupyati,kupyati,kupyati
√कृ,8,U,करोति,"Fazer, trabalhar","Hacer, trabajar","To do, to work",अकरोत्,कुर्यात्,करोतु,चकार,कृत्वा,कर्तुम्,कृत,karoti,karoti,karoti
√कृ (caus),8,U,कारयति,"Fazer, estabelecer","Hacer, establecer","To make, to establish",अकारयत्,कारयेत्,कारयतु,चकारय,कारयित्वा,कारयितुम्,कारित,kArayati,kārayati,kArayati
√कृत्,6,P,कृन्तति,Cortar,Cortar,To cut,अक्रिन्तत्,कृन्तेत्,कृन्ततु,चकृन्त,कृन्तित्वा,कृन्तितुम्,कृत,kRRintati,kṛntati,kRntati
√कृष्,1,P,कर्षति,"Pegar, arrastar","Tomar, arrastrar","To take, to drag",अकर্ষत्,कर्षेत्,कर्षतु,चकार्ष,कर्षित्वा,कर्षितुम्,कृष्ट,karShati,karṣati,karSati
√कृष्,6,U,कृषति,"Arar, arar","Arar, arar","To plow, to plow",अकृषत्,कृष्येत्,कृष्यताम्,चकृषे,कृषित्वा,कृषितुम्,कृषित,kRRiShati,kṛṣati,kRSati
√कृष्णाय,-,A,कृष्णायते,Fazer preto,Hacer negro,To make black,अकृष्णायत,कृष्णायेत,कृष्णायताम्,चकृष्णाय,कृष्णायित्वा,कृष्णायितुम्,कृष्णीत,kRRiShNAyate,kṛṣṇāyate,kRSNAyate
