word_type,word_devanagari,grammatical_case,meaning_pt,meaning_es,meaning_en,itrans,iast,harvard_kyoto,is_published,order_index
"indeclinable","अग्रे","6°","Na presença de","En presencia de","In the presence of","agre","agre","agre","true","1"
"indeclinable","अत एव","","Então","Por lo tanto","Therefore","ata eva","ata eva","ata eva","true","2"
"indeclinable","अति","+2ºc","Acima, sobre","Arriba","Above","ati","ati","ati","true","3"
"indeclinable","अत्र","","Aqui","Aquí","Here","atra","atra","atra","true","4"
"indeclinable","अद्य","","Hoje","Hoy","Today","adya","adya","adya","true","5"
"indeclinable","अधः","6°","Abaixo","Abajo, debajo","Below","adhaH","adhaḥ","adhaH","true","6"
"indeclinable","अधम","","Inferior","Inferior","Inferior","adhama","adhama","adhama","true","7"
"indeclinable","अधुना","","Agora","Ahora","Now","adhunA","adhunā","adhunA","true","8"
"indeclinable","अनन्तरम्","5°","Depois","Después","After","anantaram","anantaram","anantaram","true","9"
"indeclinable","अनु","+2ºc","Depois, de acordo com, junto","Junto, de acuerdo con, después","After, according to, along","anu","anu","anu","true","10"
"indeclinable","अन्तरा","+2ºc","Entre, no meio","Entre","Between","antarA","antarā","antarA","true","11"
"indeclinable","अन्तरेण","+2ºc","Sem","Sin, concerniente","Without","antareNa","antareṇa","antareNa","true","12"
"indeclinable","अन्तिम","","Último","Último","Last","antima","antima","antima","true","13"
"indeclinable","अन्यथा","","De outra maneira, caso contrário","Por el contrario","Otherwise","anyathA","anyathā","anyathA","true","14"
"indeclinable","अपि","","Inclusive, também","Incluso","Even","api","api","api","true","15"
"indeclinable","अभि","+2ºc","Perto","Cerca","Near","abhi","abhi","abhi","true","16"
"indeclinable","अभितः","+2ºc","Perto, na frente","Cerca, al frente","Near, in front","abhitaH","abhitaḥ","abhitaH","true","17"
"indeclinable","अलम्","+3ºc","Suficiente de","Basta de; Suficiente de","Enough","alam","alam","alam","true","18"
"indeclinable","असीम","","Sem limites / Ilimitado","Ilimitado","Boundless","asIma","asīma","asIma","true","19"
"indeclinable","आ","5°","Até,","Hasta, hasta","Until, up to","A","ā","A","true","20"
"indeclinable","इति","","Então, assim, aspas","Comillas; Eso","So, thus","iti","iti","iti","true","21"
"indeclinable","इव","","Como","Como, semejante","Like","iva","iva","iva","true","22"
"indeclinable","उप","+2ºc","Perto, abaixo","Cerca, abajo","Below","upa","upa","upa","true","23"
"indeclinable","उपरि","+6ºc","Sobre","Arriba, encima, sobre, en, hacia","Above","upari","upari","upari","true","24"
"indeclinable","उभयतः","+2ºc","Em ambos lados","En ambos lados","On both sides","ubhayataH","ubhayataḥ","ubhayataH","true","25"
"indeclinable","ऋते","+5ºc","Exceto, sem","Excepto, sin, con la excepción de","Except, without","RRite","ṛte","Rte","true","26"
"indeclinable","एकदा","","Era uma vez/Uma vez","Érase una vez/Una vez","Once upon a time/Once","ekadA","ekadā","ekadA","true","27"
